식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,1인(회)분량 참고량,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D220-748110000-0093,커피_카페 라떼 프리미엄마일드 (K(코끼리)),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,43,,2.00,,,,3.54,,,,,,29,,,,,,,,,,2.15,,3,식품의약품안전처,,650ml,달콤,2,수집,2024-12-19,2025-12-29,1471000,식품의약품안전처
D220-748110000-0094,커피_카페 라떼 프리미엄마일드 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,43,,1.90,,,,3.59,,,,,,29,,,,,,,,,,2.11,,3,식품의약품안전처,,473ml,달콤,2,수집,2024-12-19,2025-12-29,1471000,식품의약품안전처
D220-748110000-0095,커피_카페 라떼 프리미엄마일드 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,58,,1.97,,,,3.66,,,,,,29,,,,,,,,,,2.25,,3,식품의약품안전처,,355ml,달콤,2,수집,2024-12-19,2025-12-29,1471000,식품의약품안전처
D220-748110000-0105,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,47,,2.26,,,,3.39,,,,,,37,,,,,,,,,,1.70,,3,식품의약품안전처,,354ml,할리스,2,수집,2024-12-10,2025-12-29,1471000,식품의약품안전처
D220-748110000-0098,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,41,,2.09,,,,1.61,,,,,,26,,,,,,,,,,1.12,,3,식품의약품안전처,,473ml,블루샥,2,수집,2024-12-17,2025-12-29,1471000,식품의약품안전처
D220-748110000-0096,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,30,,1.69,1.37,,2.62,1.83,,,,,,17,,,,,,,,,4.92,0.88,0.05,3,식품의약품안전처,,591ml,메가커피,2,수집,2024-12-13,2025-12-29,1471000,식품의약품안전처
D220-748110000-0100,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100g,60,,2.64,,,,4.00,,,,,,41,,,,,,,,,,2.08,,3,식품의약품안전처,,250g,카페띠아모,2,수집,2025-01-02,2025-12-29,1471000,식품의약품안전처
D220-748110000-0102,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,33,,1.38,,,,2.15,,,,,,25,,,,,,,,,,1.23,,3,식품의약품안전처,,651ml,카페게이트,2,수집,2025-01-08,2025-12-29,1471000,식품의약품안전처
D220-748110000-0106,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,54,,2.32,3.04,,3.91,3.80,,,,,,40,,,,,,,,,11.40,1.90,0.00,3,식품의약품안전처,,500ml,바나프레소,2,수집,2025-01-16,2025-12-29,1471000,식품의약품안전처
D220-748110000-0104,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,50,,2.17,,,,3.47,,,,,,35,,,,,,,,,,1.74,,3,식품의약품안전처,,360ml,카페루앤비,2,수집,2025-01-20,2025-12-29,1471000,식품의약품안전처
D220-748000000-1047,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,58,,2.50,,,,4.17,,,,,,43,,,,,,,,,,2.08,,3,식품의약품안전처,,240g,베러댄와플,2,수집,2023-06-30,2025-12-29,1471000,식품의약품안전처
D220-748110000-0097,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,44,,2.24,,,,3.04,,,,,,34,,,,,,,,,,,,3,식품의약품안전처,,473ml,매머드익스프레스,2,수집,2025-01-23,2025-12-29,1471000,식품의약품안전처
D220-748110000-0101,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,53,,1.69,,,,1.90,,,,,,15,,,,,,,,,,2.96,,3,식품의약품안전처,,473ml,빽다방,2,수집,2025-02-04,2025-12-29,1471000,식품의약품안전처
D220-748110000-0103,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,50,,2.17,,,,3.47,,,,,,35,,,,,,,,,,1.74,,3,식품의약품안전처,,360ml,커피베이,2,수집,2025-02-14,2025-12-29,1471000,식품의약품안전처
D220-748000000-0483,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,50,,2.63,,,4.21,3.95,,,,,,41,,,,,,,,,,1.58,,3,식품의약품안전처,,380g,엔제리너스,2,수집,2022-06-27,2025-12-29,1471000,식품의약품안전처
D220-748000000-0484,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,37,,1.39,,,,1.94,,,,,,28,,,,,,,,,,1.11,,3,식품의약품안전처,,360g,요거프레소,2,수집,2022-07-04,2025-12-29,1471000,식품의약품안전처
D220-748000000-0485,커피_카페 라떼 핫(HOT),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,40,,1.96,,,,2.72,,,,,,30,,,,,,,,,,1.38,,3,식품의약품안전처,,414g,이디야,2,수집,2022-07-08,2025-12-29,1471000,식품의약품안전처
